date,nom,niveau,solde_depart,solde_fin,nb_coup,gain,mise,perdu
11/20/2020 05:37:24,fatima,1,10,15,1,10,5,False
11/20/2020 05:37:24,fatima,2,10,15,3,2,2,False
11/20/2020 05:37:24,fatima,3,10,13,8,0,2,True
11/20/2020 05:37:24,fatima,2,10,14,1,2,1,False
11/20/2020 05:41:09,fatima,1,10,10,2,5,5,False
11/20/2020 12:11:09,Soso,1,10,15,1,10,5,False
11/20/2020 12:12:24,Soso,1,10,20,1,20,10,False
11/20/2020 12:12:24,Soso,2,10,23,1,6,3,False
11/20/2020 12:12:56,Soso,1,10,20,1,20,10,False
11/20/2020 12:12:56,Soso,2,10,25,1,10,5,False
11/20/2020 12:12:56,Soso,3,10,35,1,20,10,False
11/20/2020 12:21:31,Soso,1,10,20,1,20,10,False
11/20/2020 12:21:31,Soso,2,10,19,6,0,1,True
11/20/2020 12:21:31,Soso,1,10,24,1,10,5,False
11/20/2020 12:21:31,Soso,2,10,23,6,0,1,True
11/20/2020 12:21:31,Soso,1,10,33,1,20,10,False
11/20/2020 12:21:31,Soso,2,10,53,1,40,20,False
11/20/2020 12:21:31,Soso,3,10,23,8,0,30,True
11/20/2020 12:21:31,Soso,2,10,43,1,40,20,False
11/20/2020 12:21:31,Soso,3,10,83,1,80,40,False
